OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE
3401771,T20130013611,ABS to receive accident,Finished,1/07/2013,06.40.00,No,Struck Pedestrian,Monday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,No,Dark Street lights on,Yes,T intersection,Other injury accident,50 km/hr,No,261607,144.33957,-38.16099
3401772,T20130013617,ABS to receive accident,Finished,1/07/2013,08.40.00,No,Collision with vehicle,Monday,RIGHT THROUGH,No,Day,Yes,T intersection,Serious injury accident,80 km/hr,No,46901,145.26364,-38.00505
3401773,T20130013620,ABS to receive accident,Finished,1/07/2013,05.30.00,Yes,Collision with a fixed object,Monday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,261464,146.39508,-37.97259
3401774,T20130013621,ABS to receive accident,Finished,1/07/2013,04.45.00,Yes,Struck animal,Monday,STRUCK ANIMAL,No,Dark No street lights,Yes,Not at intersection,Other injury accident,100 km/hr,No,261715,144.18062,-36.80813
3401775,T20130013622,ABS to receive accident,Finished,1/07/2013,09.14.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,261568,145.14892,-38.10118
3401776,T20130013630,ABS to receive accident,Finished,1/07/2013,06.50.00,Yes,Vehicle overturned (no collision),Sunday,OFF CARRIAGEWAY TO RIGHT,No,Dark No street lights,Yes,Not at intersection,Other injury accident,110 km/hr,Yes,277412,145.1033,-37.08409
3401777,T20130013638,ABS to receive accident,Finished,1/07/2013,10.30.00,No,Collision with a fixed object,Monday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,Yes,261526,147.83109,-37.37856
3401778,T20130013641,ABS to receive accident,Finished,1/07/2013,09.30.00,No,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,T intersection,Fatal accident,70 km/hr,Yes,49869,144.35382,-38.13782
3401779,T20130013644,ABS to receive accident,Finished,1/07/2013,12.40.00,No,Struck Pedestrian,Monday,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,No,Day,Yes,Cross intersection,Fatal accident,50 km/hr,No,41143,144.99272,-37.91244
3401780,T20130013647,ABS to receive accident,Finished,1/07/2013,16.40.00,No,Vehicle overturned (no collision),Monday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Yes,T intersection,Serious injury accident,60 km/hr,No,67133,145.0748,-37.84725
3401781,T20130013649,ABS to receive accident,Finished,1/07/2013,15.40.00,No,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,261922,145.10063,-37.941
3401782,T20130013650,ABS to receive accident,Finished,1/07/2013,16.40.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,39806,145.30008,-37.80088
3401783,T20130013652,ABS to receive accident,Finished,1/07/2013,17.55.00,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,52743,143.83607,-37.52622
3401784,T20130013654,ABS to receive accident,Finished,1/07/2013,17.45.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,T intersection,Other injury accident,60 km/hr,No,57278,144.76513,-36.14474
3401785,T20130013655,ABS to receive accident,Finished,1/07/2013,16.45.00,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,80 km/hr,No,59246,145.38885,-36.44081
3401786,T20130013656,ABS to receive accident,Finished,1/07/2013,16.20.00,No,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,262085,144.88274,-37.83945
